NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00255201-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N
NCGC00254560-01,NC1=C(Cl)C=C(Cl)C=C1[N+]([O-])=O
NCGC00163724-03,COC1=NN(CSP(=S)(OC)OC)C(=O)S1
NCGC00260234-01,F[B-](F)(F)F.CCCC[N+]1=CC(C)=CC=C1
NCGC00258042-01,O.O.[Cl-].[Cl-].[Ba++]
NCGC00259839-01,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
NCGC00256112-01,ClP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2
NCGC00257129-01,[Na+].CCCCC(CC)COS([O-])(=O)=O
NCGC00259599-01,COCC(C)N
NCGC00256499-01,CC1=C(O)C=CC(Cl)=C1
NCGC00258111-01,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C2=CC(Cl)=C(O)C(Cl)=C2
NCGC00095775-01,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2
NCGC00259929-01,NC1CCCCC1
NCGC00254634-01,C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C
NCGC00256845-01,C\C=C(/C)C(=O)OCCC1=CC=CC=C1
NCGC00257857-01,COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C=C2O)C=C1
NCGC00016773-01,Cl.C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C2=CC=C(O)C=C2
NCGC00257450-01,COC1=C(N)C=C(NC(C)=O)C=C1
NCGC00254499-01,CC1=CC(NC(=O)C(O)=O)=CC(C)=C1OC2=CC=C(O)C3=C2CCC3
NCGC00258323-01,CCOC(=O)OCC
NCGC00021569-04,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(O)=O
NCGC00258566-01,CCOC(=O)CCCCCCC\C=C\C\C=C\C\C=C\CC
NCGC00159330-02,CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O
NCGC00257663-01,OC1CCCC1
NCGC00164402-01,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3(Cl)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00255825-01,CCCCCCCCCCCCN1CCOCC1
NCGC00016939-01,Cl.[H][C@@]1(CC[C@](CC1)(C#N)C2=CC=C(F)C=C2)N3CC[C@]([C@H](C)C3)(C(O)=O)C4=CC=CC=C4
NCGC00254804-01,CC1=C(F)C(F)=C(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)C(F)=C1F
NCGC00257657-01,CC1=C(C=C(N)C=C1)[N+]([O-])=O
NCGC00259819-01,CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
NCGC00255055-01,SC1=NN=C(S)S1
NCGC00025303-03,CCN1CCC[C@H]1CNC(=O)C2=C(O)C(Cl)=CC(Cl)=C2OC
NCGC00254556-01,S1C=CC=C1C2=CC=C(S2)C3=CC=CS3
NCGC00254911-01,COP(=O)(OC)SCN1C(=O)OC2=CC(Cl)=CN=C12
NCGC00257001-01,NC1=CC=C2C=C3C=CC=CC3=CC2=C1
NCGC00260395-01,BrCCOC1=CC=CC=C1
NCGC00259398-01,NC(=O)N=NC(N)=O
NCGC00189073-01,CN1C=NC2=C1C=C(C(=O)NOCCO)C(NC3=CC=C(Br)C=C3Cl)=C2F
NCGC00254793-01,CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C
NCGC00254031-01,[Na+].[Na+].CCCCC1=NC2=C(C=C1)[C@@H]([C@H]([C@@H]2C3=CC=C(OC)C=C3C[C@H](C)C([O-])=O)C([O-])=O)C4=CC5=C(OCO5)C=C4
NCGC00258613-01,CN=C=O
NCGC00159453-02,CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2
NCGC00160485-01,CCN(CC)CCOC1=CC=C2N=C(SC2=C1)N(C)C
NCGC00259290-01,CCCC1=CC(=O)NC(=S)N1
NCGC00093857-01,Cl.CCOC(=O)C1=CN=C2N(CC)N=CC2=C1NN=C(C)C
NCGC00257710-01,BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C(Br)=C2)C=C1
NCGC00256817-01,CCCCCCCCOC(=O)C=C
NCGC00256068-01,CCOC(=O)C(C#N)=C(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00254807-01,CCCCCC(CO)CCC
NCGC00018143-04,CCN1CCN(CC1)C2=CC3=C(C=C2F)C(=O)C(=CN3C4CC4)C(O)=O
NCGC00254432-01,OC1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34
NCGC00016527-01,CC1CCCC(C)N1NC(=O)C2=CC=C(Cl)C(=C2)S(N)(=O)=O
NCGC00258698-01,CC1=CC=C2C=CC=NC2=C1
NCGC00256021-01,O[As](O)(=O)C1=CC=C(C=C1)[N+]([O-])=O
NCGC00247693-01,Cl.CCC(=O)N(C1CCN(CC(O)C2=CC=CC=C2)CC1)C3=CC=CC=C3
NCGC00091258-01,ClCC(=O)C1=C(Cl)C=C(Cl)C=C1
NCGC00091596-02,CCCCCCCCCCCCCCCCCC(O)=O
NCGC00016560-01,Cl.Cl.CC[C@@H](CO)NCCN[C@@H](CC)CO
NCGC00241097-01,COC1=CC2=C(N=CN=C2C=C1OCCCN3CCCCC3)N4CCN(CC4)C(=O)NC5=CC=C(OC(C)C)C=C5
NCGC00259855-01,OC(=O)C1=NN(CC2=CC=C(Cl)C=C2Cl)C3=C1C=CC=C3
NCGC00183852-01,[Br-].CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C2CCCC2
NCGC00257202-01,NC1=NC(=O)N(C=C1)[C@H]2CC[C@@H](CO)O2
NCGC00257053-01,CC(C)C1=CC=C(C=C1)C(C)C
NCGC00255105-01,CCCCCC(=O)CC
NCGC00259379-01,CCCCCCC(O)=O
NCGC00254038-01,CS(=O)(=O)OCCCCOS(C)(=O)=O
NCGC00166097-01,OCC=CC1=CC=CC=C1
NCGC00160439-01,CC1=CC=CC(C)=C1NC(=O)CN2CCCC2
NCGC00259519-01,CCC(C)OC(=O)C1=CC=C(O)C=C1
NCGC00257564-01,CC(C)C1CCC(C)CC1O
NCGC00159363-02,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00258950-01,C(COC1=CC=CC=C1)OC2=CC=CC=C2
NCGC00254127-01,CN1SC(Cl)=CC1=O
NCGC00259582-01,BrC1=CC=C(OC2=CC=C(Br)C=C2)C=C1
NCGC00255487-01,CC(=C)C1CCC(C)(O)CC1
NCGC00259299-01,[O-][N+](=O)C1=CC=CC=C1
NCGC00260418-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]
NCGC00258259-01,OC1(O)C(=O)C2=C(C=CC=C2)C1=O
NCGC00181135-01,CCCCC[C@@H](O)C1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)CC(O)C(O)C(O)\C(C)=C\C=C\C=C\C=C\C=C\[C@@H](O)C(C)OC1=O
NCGC00254729-01,CCOP(=S)(OCC)SCCl
NCGC00260183-01,[Br-].CCN1C=C[N+](C)=C1
NCGC00258507-01,FC(F)(F)C1=CC=CC=C1
NCGC00257448-01,CN1CCOCC1
NCGC00257744-01,[O-][N+](=O)C1=CC=C2C(=O)NC(=O)C2=C1
NCGC00258531-01,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1
NCGC00256000-01,CC(=O)OC1=CC=C(C=C1)C(C)=O
NCGC00259321-01,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1
NCGC00256539-01,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00015207-07,O=C1CCC2=CC(OCCCCC3=NN=NN3C4CCCCC4)=CC=C2N1
NCGC00181007-01,OS(O)(=O)=O.[H][C@]12SCC(C[N+]3=CC=C(N)N3CCO)=C(N1C(=O)[C@@]2([H])NC(=O)C(=N/OC)\C4=CSC(N)=N4)C([O-])=O
NCGC00254375-01,O[C@@H]1[C@@H](COC2=CC(O)=CC=C12)N3CCC(O)(CC3)C4=CC=C(F)C=C4
NCGC00159356-02,[H][C@@]12CC[C@H](OC(=O)CCC3=CC=CC=C3)[C@@]1(C)CC[C@]4([H])[C@@]5([H])CCC(=O)C=C5CC[C@@]24[H]
NCGC00257843-01,C(OC1=CC=CC=C1)C2CO2
NCGC00259538-01,OC(=O)CCCCCCCC(O)=O
NCGC00257839-01,OCCC1=CC=C(C=C1)[N+]([O-])=O
NCGC00258434-01,NC1=CC=CC=N1
NCGC00167980-01,CC(C(O)=O)C1=CC2=C(OC3=NC=CC=C3C2)C=C1
NCGC00254873-01,N1C(=NC2=C1C=CC=C2)C3=CSC=N3
NCGC00256662-01,S(SC1=CC=CS1)C2=CC=CS2
NCGC00166125-01,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
NCGC00253985-01,CCCCC(CC)C(O)=O
NCGC00188443-01,Cl.CC1=C(C=CC=C1)N2CCN(CCC3=NN=C4CCCCN34)CC2
NCGC00255159-01,[H][C@]12CC(C)(C)[C@]1([H])CC\C(C)=C\CCC2=C
NCGC00164573-01,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C3=C(F)C=CC=C3
NCGC00015344-03,Cl.CN(C)CC\C=C1/C2=C(COC3=C1C=CC=C3)C=CC=C2
NCGC00015409-02,[Cl-].CC[N+](C)(C)C1=CC(O)=CC=C1
NCGC00247710-01,Cl.CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F
NCGC00254006-01,CC(C)(C)OOC(=O)C1=CC=CC=C1
NCGC00259552-01,CCCC(O)C(CC)CO
NCGC00016544-01,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC=C4C[C@H](CC[C@]34C)OC(C)=O
NCGC00255991-01,ClN1C(=O)CCC1=O
NCGC00182085-01,O.Cl.CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O
NCGC00181750-01,Cl.[H][C@]12SCC(C[N+]3=C4C=CC=NN4C=C3)=C(N1C(=O)[C@@]2([H])NC(=O)C(=N\OC)\C5=NSC(N)=N5)C([O-])=O
NCGC00258330-01,CC1=CC(=CC(C)=C1)[N+]([O-])=O
NCGC00016497-05,CCC1=NC=CC(=C1)C(N)=S
NCGC00181916-01,CCOC1=CC=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=N1
NCGC00259108-01,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
NCGC00254507-01,CCOP(=S)(OC1=CC=C(C=C1)[N+]([O-])=O)C2=CC=CC=C2
NCGC00256937-01,CCCCCCCCCCCCCC(=O)OC(C)C
NCGC00188437-01,CC1=CC=C(C=C1)S(O)(=O)=O.[H][C@@]23CC(=O)N2[C@@H](C(=O)OCOC(=O)[C@@H]4N5C(=O)[C@@]([H])(NC(=O)[C@H](N)C6=CC=CC=C6)[C@@]5([H])SC4(C)C)C(C)(C)S3(=O)=O
NCGC00254343-01,O=C1N(C2CCC(=O)NC2=O)C(=O)C3=CC=CC=C13
NCGC00182606-01,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@H](CC2(C)C)OC(=O)CCCCCCCCCCCCCCC)C(C)(C)C1
NCGC00255072-01,CC(CCCC(C)(C)O)CC=O
NCGC00068236-02,COC1=C(N2CCNC(C)C2)C(F)=CC3=C1N(C=C(C(O)=O)C3=O)C4CC4
NCGC00167440-01,COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C=C3)C(C)(C)C)N=C(N=C2OCCO)C4=NC=CC=N4
NCGC00256664-01,FC1=C(F)C(F)=C(Br)C(F)=C1F
NCGC00167443-01,CC1=C(C=CC=C1)N2C(=O)C3=C(C=CC(N)=C3)N=C2CF
NCGC00259966-01,OC1=CC(O)=CC=C1
NCGC00255174-01,[NH4+].[S-]C#N
NCGC00024868-03,OC(=O)\C=C\C(O)=O.CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1.CC(C)NCC(O)COC2=CC=C(COCCOC(C)C)C=C2
NCGC00254733-01,CCCCC\C=C/CCC=O
NCGC00258706-01,CCC(C)(C)OC
NCGC00256235-01,CCCCCCCCCCCCSC
NCGC00258729-01,CC(O)COC(=O)C=C
NCGC00164077-02,NC1=CC=C(C=C1)\N=N\C2=CC=CC=C2
NCGC00090874-04,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC
NCGC00257823-01,S=C(NC1=CC=CC=C1)NC2=CC=CC=C2
NCGC00016654-01,CC(C(O)=O)C1=CC=C(C(F)=C1)C2=CC=CC=C2
NCGC00258049-01,C1C2OC2C3C4CC(C5OC45)C13
NCGC00256484-01,NC1=NC(=NC(N)=N1)C2=CC=CC=C2
NCGC00094476-03,[H][C@@]12CC3=CNC4=C3C(=CC=C4)[C@@]1([H])C[C@@H](CN2C)NC(=O)N(CC)CC
NCGC00093926-03,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(F)C(=O)NC2=O
NCGC00016505-01,Cl.CCCOC1=CC(N)=CC=C1C(=O)OCCN(CC)CC
NCGC00256312-01,[Na+].COC1=CC=C(C=C1)\N=N\C2=C(OC)C=C(\N=N\C3=CC=C(C=C3)S([O-])(=O)=O)C(C)=C2
NCGC00260515-01,O.O.O.O.O.O.O.O.Cl[Zr](Cl)=O
NCGC00016490-06,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1
NCGC00016323-01,NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(Cl)N=N2
NCGC00159439-02,OC1N=C(C2=CC=CC=C2Cl)C3=CC(Cl)=CC=C3NC1=O
NCGC00016995-01,Cl.NCCC1=NNC=C1
NCGC00257812-01,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
NCGC00255673-01,CCNC1=NC(OC)=NC(NC(C)CC)=N1
NCGC00259176-01,Cl.NC1=CC=C(Cl)C=C1
NCGC00255256-01,CCCCN(CCCCO)N=O
NCGC00258859-01,CC(C)CC(=O)OCC=C
NCGC00183138-01,O[Al](O)[Al](O)O.O[Al](O)[Al](O)O.O[Al](O)[Al](O)O.O[Al](O)[Al](O)O.[H][C@]1(COS(=O)(=O)O[Al](O)O)O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@@]2([H])O[C@]([H])(COS(=O)(=O)O[Al](O)O)[C@@]([H])(OS(=O)(=O)O[Al](O)O)[C@]([H])(OS(=O)(=O)O[Al](O)O)[C@@]2([H])OS(=O)(=O)O[Al](O)O)[C@@]([H])(OS(=O)(=O)O[Al](O)O)[C@]1([H])OS(=O)(=O)O[Al](O)O
NCGC00254450-01,N#CC1=CN=CC=C1
NCGC00161336-02,[K+].CCCCCC[C@@H](O)C\C=C/CCCCCCCC([O-])=O
NCGC00256065-01,CCCCC(CC)COC(=O)OOC(C)(C)C
NCGC00259677-01,CC(C)CC(C)(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2
NCGC00260676-01,CC1=C(OP(=O)(OC2=C(C)C=CC=C2)OC3=C(C)C=CC=C3)C=CC=C1
NCGC00259463-01,CC(=C)C(=O)OCCOC(=O)C(C)=C
NCGC00254613-01,COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C
NCGC00256913-01,CCCCCCCCCCCCCCCC(=O)OCC
NCGC00256690-01,CC1=CC=C(C=C1)C2=CC=CC=C2
NCGC00259280-01,CNC(=O)ON=C(SC)C(=O)N(C)C
NCGC00259639-01,CC12CCC(CC1)C(C)(C)O2
NCGC00015074-10,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
NCGC00255835-01,[Na+].COC1=C(OC)C(CS(=O)C2=NC3=C([N-]2)C=CC(OC(F)F)=C3)=NC=C1
NCGC00159328-02,[H][C@@]12CC[C@H](OC(=O)CC)[C@@]1(C)CC[C@]3([H])C4=CC=C(OC(=O)CC)C=C4CC[C@@]23[H]
NCGC00166138-01,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CC[C@H](OC(C)=O)C=C4CC[C@@]23[H]
NCGC00023193-04,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]4(F)[C@@]2([H])CCC5=CC(=O)C=C[C@]45C
NCGC00254513-01,CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC3=CC=C(F)C=C3)C=C1
NCGC00256803-01,CC1=CC=C(OC(=O)C2=C(O)C=CC=C2)C=C1
NCGC00016498-01,Cl.CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2
NCGC00258468-01,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
NCGC00256399-01,CC(C)C(C)=O
NCGC00254217-01,CC1=C(N)C=C(C=C1)[N+]([O-])=O
NCGC00255817-01,NCCOCCN
NCGC00254750-01,OCC=CC1=CC=CC=C1
NCGC00260371-01,CCCCCCCCCCCCCCCCCBr
NCGC00181752-01,OS(O)(=O)=O.[H][C@]12SCC(C[N+]3=C4C=CC=NN4C=C3)=C(N1C(=O)[C@@]2([H])NC(=O)C(=N\OC)\C5=NSC(N)=N5)C([O-])=O
NCGC00258248-01,CC(O)COC(=O)C(C)=C
NCGC00258079-01,CC(C)(CCC(O)=O)C(O)=O
NCGC00256996-01,CO[Si](CCCNCCN)(OC)OC
NCGC00160628-01,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C3=O)C(O)=CC(O)=C4)C5=CC(O)=C(O)C=C5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
NCGC00255419-01,[Na+].[O-]C(=O)C(Cl)Cl
NCGC00017259-04,[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C5=CC(Br)=CN=C5)CN2C)OC
NCGC00256329-01,O=C1NS(=O)(=O)C2=C1C=CC=C2
NCGC00256193-01,COC(=O)C1=C(Cl)C=CC=C1
NCGC00168786-02,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]4([H])N(CCC5=C4NC6=C5C=CC=C6)C2
NCGC00254939-01,ClC(=O)OCCOCCOC(Cl)=O
NCGC00256406-01,CC(=O)NC1=CC=C(C=C1)C(=O)CCl
NCGC00256453-01,O1C2=CC=CC=C2OC3=C1C=CC=C3
NCGC00256721-01,[K+].[O-]Cl(=O)=O
NCGC00095078-01,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00259091-01,CCCCC(CC)COC(=O)CS
NCGC00167526-01,CS(O)(=O)=O.CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1
NCGC00254755-01,CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl
NCGC00257643-01,CC1=CC=C(CO)C=C1
NCGC00254086-01,[Na+].CC1=CC=C(C=C1C)S([O-])(=O)=O
NCGC00257280-01,CCCCCC1=CC=C(Cl)C=C1
NCGC00258092-01,CCCCCCCCCCC=O
NCGC00258193-01,ClC(=O)\C=C\C(Cl)=O
NCGC00254548-01,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NCGC00255318-01,[K+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl
NCGC00260187-01,CCOS([O-])(=O)=O.CCN1C=C[N+](C)=C1
NCGC00256470-01,CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
NCGC00181133-01,CC(O)=O.NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC3=CC=C(O)C=C3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O
NCGC00259307-01,CCCCCCCCCCCCS
NCGC00255390-01,CCC(C)(C#N)\N=N\C(C)(CC)C#N
NCGC00256926-01,O=C1CCCCC1C2CCCCC2
NCGC00013109-01,OC1=CC=C(C=C1)C2(OS(=O)(=O)C3=C2C=CC=C3)C4=CC=C(O)C=C4
NCGC00092377-02,CC1=NN=C2CN=C(C3=C(SC(CCC(=O)N4CCOCC4)=C3)N12)C5=C(Cl)C=CC=C5
NCGC00018102-06,FC1=CC=C(C=C1)C(N2CCN(C\C=C\C3=CC=CC=C3)CC2)C4=CC=C(F)C=C4
NCGC00182075-03,Cl.CC(CN(C)C)CN1C2=C(C=CC=C2)S(=O)(=O)C3=C1C=CC=C3
NCGC00256786-01,CC1CCC(=O)C1=O
NCGC00259857-01,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C3=CC(O)=C(O)C=C3
NCGC00016963-01,Cl.CCN1CCC[C@H]1CNC(=O)C2=C(OC)C(Cl)=CC(CC)=C2O
NCGC00259732-01,N#CCCCCC#N
NCGC00254248-01,IC1=C(C=CC=C1)C(=O)NC2=CC=CC=C2
NCGC00016056-02,Cl.CNCC[C@@H](OC1=C(C)C=CC=C1)C2=CC=CC=C2
NCGC00254582-01,OC1=C(C=CC=C1)C2=CC=CC=C2
NCGC00016686-01,[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@@H]4O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3
NCGC00183597-01,[H][C@@]12C[C@H](C)[C@](OC(=O)CCC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00159321-02,OS(O)(=O)=O.COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C3=CC=CC=C3Cl
NCGC00254769-01,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(Cl)=CC(Cl)=C2
NCGC00259101-01,ClC1=CC(Cl)=C(OS(=O)(=O)C2=CC=CC=C2)C=C1
NCGC00259258-01,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
NCGC00256530-01,NC(N)=S
NCGC00258023-01,OC1=CC=C(C=C1)C2=CC=C(O)C=C2
NCGC00259132-01,CCCCOCCOC(C)=O
NCGC00257519-01,OC(=O)C1=C(Cl)C(Cl)=CC=C1Cl
NCGC00254514-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]
NCGC00018274-04,CC(=O)OC1=CC=CC2=C1C(=O)C3=C(OC(C)=O)C=C(C=C3C2=O)C(O)=O
NCGC00016841-01,OS(O)(=O)=O.CC(C)(C)NC[C@H](O)COC1=C(C=CC=C1)C2CCCC2.CC(C)(C)NC[C@H](O)COC3=C(C=CC=C3)C4CCCC4
NCGC00021144-02,CCCC(=O)NC1=NC=NC2=C1N=CN2[C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3OC(=O)CCC
NCGC00256899-01,[Ca++].CC(=O)NCCCS([O-])(=O)=O.CC(=O)NCCCS([O-])(=O)=O
NCGC00257204-01,OC1CCCCCCCCCCC1
NCGC00259372-01,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
NCGC00258576-01,O=C1NC=CC(=O)N1
NCGC00092315-01,Cl.O[C@@H](CNCCOC1=CC=C(CC(O)=O)C=C1)C2=CC=CC=C2
NCGC00256490-01,CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C3=CC=C(F)C=C3
NCGC00260338-01,ClC1=CC2=C(OC3=C(O2)C=C(Cl)C(Cl)=C3)C=C1Cl
NCGC00255424-01,CCCCCOC(=O)CCC
NCGC00017159-05,COC1=CC(=CC=C1O)\C=C\C(=O)CC(=O)\C=C\C2=CC=C(O)C(OC)=C2
NCGC00257013-01,CC1=CC(C)=C(C=C1)[N+]([O-])=O
NCGC00017115-01,OC(CC(O)=O)C(O)=O.OC(CC(O)=O)C(O)=O.CCSC1=CC2=C(SC3=C(C=CC=C3)N2CCCN4CCN(C)CC4)C=C1
NCGC00258018-01,CC\C(C)=N\O[Si](C)(O\N=C(/C)CC)O\N=C(/C)CC
NCGC00017106-01,[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)[C@@H](NC(=O)N3CCNC3=O)C4=CC=CC=C4)C([O-])=O
NCGC00259434-01,CCCCOCCOCCOCCO
NCGC00255661-01,CS(=O)(=O)NC1=CC=C(C=C1OC2=CC=CC=C2)[N+]([O-])=O
NCGC00024595-03,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2
NCGC00016669-01,Br.C[N@@+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)C4=CC=CC=C4
NCGC00256172-01,Cl.ClC1=CC=CC(Cl)=C1N=C2NCCN2
NCGC00255718-01,CC1=C(NC(=N)NC(N)=N)C=CC=C1
NCGC00254412-01,OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3
NCGC00256952-01,CC(=O)C1=CC=CC=N1
NCGC00257378-01,CCN(CCN)C1=CC(C)=CC=C1
NCGC00257109-01,OC1=NC(O)=NC(O)=N1
NCGC00257813-01,ClC1=CC(Cl)=C(Cl)N=C1Cl
NCGC00256181-01,OC1(CCCCC1)C(=O)C2=CC=CC=C2
NCGC00017258-04,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO
NCGC00160353-01,CC(C)(OC1=CC=C(C=C1)C2CCCC3=C2C=CC=C3)C(O)=O
NCGC00258836-01,OCC#CCO
NCGC00016280-02,NC1=NC2=C(O1)C=CC(Cl)=C2
NCGC00016916-01,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N3CCNCC3
NCGC00257551-01,CC(C)CCCO
NCGC00255144-01,CCN1CN(CC)CN(CC)C1
NCGC00255783-01,O=P1OC2=C(C=CC=C2)C3=C1C=CC=C3
NCGC00259237-01,ClC1=CC=CC=C1C2=NN=C(N=N2)C3=C(Cl)C=CC=C3
NCGC00255278-01,CC(C)(CO)[N+]([O-])=O
NCGC00254043-01,O[C@H]([C@@H](O)C(O)=O)C(O)=O
NCGC00258504-01,OC(=O)CCSSCCC(O)=O
